"feature_id","subsystem","group","feature_name","catalog_anchor","stress_test_files","supplementary_stress_files","vitest_unit_files","manual_playbook_refs","stress_coverage_required","gap_classification","evidence"
"sa-008","skill_advisor","AUTO-INDEXING","Deterministic derived extraction",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/02--auto-indexing/01-derived-extraction.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/lifecycle-derived-metadata.vitest.ts","","Maybe","P2","Extraction is runtime indexing with bounded unit coverage but no large-corpus stress."
"sa-009","skill_advisor","AUTO-INDEXING","A7 sanitizer at every write boundary",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/02--auto-indexing/02-sanitizer.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/legacy/advisor-privacy.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-recommend.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/affordance-normalizer.test.ts","","Maybe","P2","Sanitizer boundaries are unit-covered but not stressed with large adversarial batches."
"sa-010","skill_advisor","AUTO-INDEXING","Provenance fingerprints and trust lanes",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/02--auto-indexing/03-provenance-and-trust-lanes.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/lifecycle-derived-metadata.vitest.ts","","Maybe","P2","Fingerprint and lane assignment have unit coverage but no stress corpus."
"sa-011","skill_advisor","AUTO-INDEXING","Graph-metadata derived sync",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/02--auto-indexing/04-sync.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/lifecycle-derived-metadata.vitest.ts","","Maybe","P2","Atomic sync writes are covered by unit tests but not concurrent filesystem pressure."
"sa-012","skill_advisor","AUTO-INDEXING","Anti-stuffing and cardinality caps",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/02--auto-indexing/05-anti-stuffing.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/anti-stuffing-cardinality-stress.vitest.ts","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/scorer/native-scorer.vitest.ts","","Y","none","Closed by packet 043: .opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/anti-stuffing-cardinality-stress.vitest.ts (was P0)"
"sa-013","skill_advisor","AUTO-INDEXING","DF/IDF corpus stats (active-only)",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/02--auto-indexing/06-df-idf-corpus.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/df-idf-corpus-stress.vitest.ts","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/scorer/native-scorer.vitest.ts","","Y","none","Closed by packet 043: .opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/df-idf-corpus-stress.vitest.ts (was P0)"
"sa-014","skill_advisor","LIFECYCLE ROUTING","Derived-lane-only age haircut",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/03--lifecycle-routing/01-age-haircut.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/scorer/native-scorer.vitest.ts","","Maybe","P2","Age haircut is scorer runtime behavior with bounded unit coverage and no stress axis."
"sa-015","skill_advisor","LIFECYCLE ROUTING","Asymmetric supersession routing",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/03--lifecycle-routing/02-supersession.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/compat/redirect-metadata.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/lifecycle-derived-metadata.vitest.ts","","Maybe","P2","Supersession routing is unit-covered but lacks dense redirect-chain stress."
"sa-016","skill_advisor","LIFECYCLE ROUTING","Archive and future skills indexed but not routed",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/03--lifecycle-routing/03-archive-handling.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/scorer/native-scorer.vitest.ts","","Maybe","P2","Archive exclusion is bounded unit coverage without archive-heavy corpus stress."
"sa-017","skill_advisor","LIFECYCLE ROUTING","Schema v1 to v2 additive backfill",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/03--lifecycle-routing/04-schema-migration.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/lifecycle-derived-metadata.vitest.ts","","Maybe","P2","Schema migration has unit coverage but no large batch migration stress."
"sa-018","skill_advisor","LIFECYCLE ROUTING","Atomic lifecycle rollback",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/03--lifecycle-routing/05-rollback.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/lifecycle-derived-metadata.vitest.ts","","Maybe","P2","Rollback is covered by invariants but lacks repeated failure-injection stress."
"sa-019","skill_advisor","SCORER FUSION","Five-lane analytical fusion",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/04--scorer-fusion/01-five-lane-fusion.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/scorer-fusion-stress.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/matrix/shadow-comparison.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w5-shadow-learned-weights.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w8-search-decision-envelope.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/scorer/native-scorer.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-status.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/manual_testing_playbook/01--recommendation/001-native-recommendation-happy-path.md","Y","P1","Direct stress covers two fusion scenarios but not large-corpus or full lane pressure."
"sa-020","skill_advisor","SCORER FUSION","Skill-nodes / skill-edges projection",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/04--scorer-fusion/02-projection.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/scorer-fusion-stress.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/matrix/shadow-comparison.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/scorer/native-scorer.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/skill-graph-db.vitest.ts","","Y","P1","Projection is exercised by fixture stress but not by large skill graph inputs."
"sa-021","skill_advisor","SCORER FUSION","Top-2 ambiguity window",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/04--scorer-fusion/03-ambiguity.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/scorer-fusion-stress.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/matrix/shadow-comparison.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/scorer/native-scorer.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-recommend.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/manual_testing_playbook/01--recommendation/002-ambiguous-recommendation-rendering.md","Maybe","none","Ambiguity has a direct tie stress case plus handler unit coverage."
"sa-022","skill_advisor","SCORER FUSION","Lane contribution attribution",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/04--scorer-fusion/04-attribution.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-recommend.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/legacy/advisor-privacy.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/lane-attribution.test.ts","","Maybe","P2","Attribution is unit-covered but no stress file checks large or adversarial attribution payloads."
"sa-023","skill_advisor","SCORER FUSION","Lane-by-lane ablation protocol",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/04--scorer-fusion/05-ablation.md","",".opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w13-decision-audit.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-validate.vitest.ts","","Maybe","P2","Ablation has validate coverage and supplementary decision audit but no direct stress."
"sa-024","skill_advisor","SCORER FUSION","Lane weights configuration",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/04--scorer-fusion/06-weights-config.md","",".opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w5-shadow-learned-weights.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/scorer/native-scorer.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-status.vitest.ts","","N","none","Weights configuration is a bounded config contract with supplementary shadow checks."
"sa-025","skill_advisor","MCP SURFACE","`advisor_recommend` MCP tool",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/06--mcp-surface/01-advisor-recommend.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/scorer-fusion-stress.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/matrix/shadow-comparison.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w8-search-decision-envelope.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-recommend.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-recommend-unavailable.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/legacy/advisor-privacy.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/manual_testing_playbook/01--recommendation/001-native-recommendation-happy-path.md;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/manual_testing_playbook/01--recommendation/002-ambiguous-recommendation-rendering.md","Y","P1","Direct stress reaches scorer behavior but not the full MCP handler under load."
"sa-026","skill_advisor","MCP SURFACE","`advisor_rebuild` MCP tool",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/06--mcp-surface/05-advisor-rebuild.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/skill-graph-rebuild-concurrency.vitest.ts","",".opencode/skill/system-spec-kit/mcp_server/tests/advisor-rebuild.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/tool-input-schema.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/manual_testing_playbook/03--advisor-rebuild/001-explicit-advisor-rebuild-repair-path.md","Y","none","Direct stress covers concurrent rebuild serialization for corrupt state."
"sa-027","skill_advisor","MCP SURFACE","`advisor_status` MCP tool",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/06--mcp-surface/02-advisor-status.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-status.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/advisor-rebuild.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/manual_testing_playbook/03--advisor-rebuild/001-explicit-advisor-rebuild-repair-path.md","Maybe","P2","Status is diagnostic-only and lacks degraded-state stress beyond handler units."
"sa-028","skill_advisor","MCP SURFACE","`advisor_validate` MCP tool",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/06--mcp-surface/03-advisor-validate.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/handlers/advisor-validate.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/parity/python-ts-parity.vitest.ts","","Maybe","P2","Validation slices have unit and parity coverage but no stress sweep."
"sa-029","skill_advisor","MCP SURFACE","Stable `compat/index.ts` entrypoint",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/06--mcp-surface/04-compat-entrypoint.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/compat/daemon-probe.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/compat/plugin-bridge.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/manual_testing_playbook/02--hook-integration/001-claude-user-prompt-submit-additional-context.md","N","none","Stable compat export shape is a static contract covered by compat tests."
"sa-030","skill_advisor","HOOKS AND PLUGIN","Claude Code `user-prompt-submit` hook",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/07--hooks-and-plugin/01-claude-hook.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/legacy/advisor-runtime-parity.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/hooks/settings-driven-invocation-parity.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/manual_testing_playbook/02--hook-integration/001-claude-user-prompt-submit-additional-context.md","Maybe","P2","Hook behavior is runtime-facing but currently covered by unit/manual checks only."
"sa-031","skill_advisor","HOOKS AND PLUGIN","Copilot CLI `user-prompt-submit` hook",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/07--hooks-and-plugin/02-copilot-hook.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/hooks/settings-driven-invocation-parity.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/legacy/advisor-runtime-parity.vitest.ts","","Maybe","P2","Copilot hook parity has unit coverage but no stress or manual scenario in the canonical playbook."
"sa-032","skill_advisor","HOOKS AND PLUGIN","Gemini CLI `user-prompt-submit` hook",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/07--hooks-and-plugin/03-gemini-hook.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/hooks/settings-driven-invocation-parity.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/legacy/advisor-runtime-parity.vitest.ts","","Maybe","P2","Gemini hook parity has unit coverage but no stress or manual scenario in the canonical playbook."
"sa-033","skill_advisor","HOOKS AND PLUGIN","Codex CLI native SessionStart/UserPromptSubmit hooks with prompt-wrapper fallback",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/07--hooks-and-plugin/04-codex-hook.md","","",".opencode/skill/system-spec-kit/mcp_server/tests/codex-session-start-hook.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/codex-user-prompt-submit-hook.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/codex-hook-policy.vitest.ts","","Maybe","P2","Codex hooks have dedicated units but no prompt-volume or degraded-state stress."
"sa-034","skill_advisor","HOOKS AND PLUGIN","OpenCode plugin bridge",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/07--hooks-and-plugin/05-opencode-plugin-bridge.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/compat/plugin-bridge.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/spec-kit-skill-advisor-plugin.vitest.ts","","Maybe","P2","Plugin bridge has broad unit coverage but no stress axis."
"sa-035","skill_advisor","PYTHON COMPAT","Python CLI shim (`skill_advisor.py`)",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/08--python-compat/01-cli-shim.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/compat/shim.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/compat/daemon-probe.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/python/test_skill_advisor.py","","Maybe","P2","CLI shim compatibility is unit-covered but lacks subprocess-volume stress."
"sa-036","skill_advisor","PYTHON COMPAT","Python regression suite (52/52)",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/08--python-compat/02-regression-suite.md","","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/parity/python-ts-parity.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/python/test_skill_advisor.py","","Maybe","P2","The regression suite validates parity but is not itself a stress harness."
"sa-037","skill_advisor","PYTHON COMPAT","Python bench runner (`skill_advisor_bench.py`)",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/feature_catalog/08--python-compat/03-bench-runner.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/python-bench-runner-stress.vitest.ts","",".opencode/skill/system-spec-kit/mcp_server/skill_advisor/tests/python/test_skill_advisor.py","","Y","none","Closed by packet 043: .opencode/skill/system-spec-kit/mcp_server/stress_test/skill-advisor/python-bench-runner-stress.vitest.ts (was P0)"
